,ID,Year,Month,Data Type,Value1,Mflag1,Qflag1,Sflag1,Value2,Mflag2,Qflag2,Sflag2,Value3,Mflag3,Qflag3,Sflag3,Value4,Mflag4,Qflag4,Sflag4,Value5,Mflag5,Qflag5,Sflag5,Value6,Mflag6,Qflag6,Sflag6,Value7,Mflag7,Qflag7,Sflag7,Value8,Mflag8,Qflag8,Sflag8,Value9,Mflag9,Qflag9,Sflag9,Value10,Mflag10,Qflag10,Sflag10,Value11,Mflag11,Qflag11,Sflag11,Value12,Mflag12,Qflag12,Sflag12,Value13,Mflag13,Qflag13,Sflag13,Value14,Mflag14,Qflag14,Sflag14,Value15,Mflag15,Qflag15,Sflag15,Value16,Mflag16,Qflag16,Sflag16,Value17,Mflag17,Qflag17,Sflag17,Value18,Mflag18,Qflag18,Sflag18,Value19,Mflag19,Qflag19,Sflag19,Value20,Mflag20,Qflag20,Sflag20,Value21,Mflag21,Qflag21,Sflag21,Value22,Mflag22,Qflag22,Sflag22,Value23,Mflag23,Qflag23,Sflag23,Value24,Mflag24,Qflag24,Sflag24,Value25,Mflag25,Qflag25,Sflag25,Value26,Mflag26,Qflag26,Sflag26,Value27,Mflag27,Qflag27,Sflag27,Value28,Mflag28,Qflag28,Sflag28,Value29,Mflag29,Qflag29,Sflag29,Value30,Mflag30,Qflag30,Sflag30,Value31,Mflag31,Qflag31,Sflag31
85,USC00187705,1909,1,SNOW,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,25, , ,6,0,T, ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,38, , ,6,38, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0,T, ,6,0,T, ,6,0,T, ,6,0, , ,6
86,USC00187705,1909,1,SNWD,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,25, , ,6,25, , ,6,25, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,51, , ,6,76, , ,6,76, , ,6,76, , ,6,-9999, , , ,-9999, , , ,-9999, , , ,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0,T, ,6,0, , ,6
144,USC00187705,1910,1,TMAX,11, , ,6,100, , ,6,111, , ,6,28, , ,6,-50, , ,6,17, , ,6,17, , ,6,6, , ,6,50, , ,6,11, , ,6,17, , ,6,33, , ,6,33, , ,6,0, , ,6,67, , ,6,67, , ,6,33, , ,6,128, , ,6,94, , ,6,150, , ,6,111, , ,6,39, , ,6,56, , ,6,39, , ,6,33, , ,6,11, , ,6,11, , ,6,0, , ,6,39, , ,6,56, , ,6,33, , ,6
145,USC00187705,1910,1,TMIN,-106, , ,6,11, , ,6,22, , ,6,-83, , ,6,-106, , ,6,-50, , ,6,-39, , ,6,-111, , ,6,-89, , ,6,-72, , ,6,-111, , ,6,-22, , ,6,-11, , ,6,-11, , ,6,-61, , ,6,-83, , ,6,-44, , ,6,11, , ,6,6, , ,6,11, , ,6,39, , ,6,-22, , ,6,-61, , ,6,-22, , ,6,-44, , ,6,-67, , ,6,-56, , ,6,-67, , ,6,-11, , ,6,-56, , ,6,-22, , ,6
146,USC00187705,1910,1,TOBS,11, , ,6,78, , ,6,22, , ,6,-67, , ,6,-50, , ,6,17, , ,6,-39, , ,6,-67, , ,6,-17, , ,6,-50, , ,6,-11, , ,6,33, , ,6,-11, , ,6,-11, , ,6,0, , ,6,-11, , ,6,17, , ,6,39, , ,6,22, , ,6,67, , ,6,39, , ,6,-6, , ,6,17, , ,6,-6, , ,6,-11, , ,6,0, , ,6,-11, , ,6,-6, , ,6,-6, , ,6,33, , ,6,-11, , ,6
147,USC00187705,1910,1,PRCP,0, , ,6,0, , ,6,0, , ,6,0, , ,6,33, , ,6,5, , ,6,216, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,30, , ,6,178, , ,6,0,T, ,6,0, , ,6,5, , ,6,112, , ,6,3, , ,6,0, , ,6,178, , ,6,76, , ,6,0, , ,6,0,T, ,6,5, , ,6,0, , ,6,0, , ,6,183, , ,6,5, , ,6,0, , ,6,0,T, ,6
148,USC00187705,1910,1,SNOW,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0,T, ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,152, , ,6,0,T, ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,51, , ,6,0, , ,6,0,T, ,6,25, , ,6,0, , ,6,0, , ,6,152, , ,6,25, , ,6,0, , ,6,0,T, ,6
149,USC00187705,1910,1,SNWD,-9999, , , ,-9999, , , ,0, , ,6,0, , ,6,0,T, ,6,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,152, , ,6,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,51, , ,6,-9999, , , ,0, , ,6,0, , ,6,-9999, , , ,-9999, , , ,152, , ,6,178, , ,6,-9999, , , ,0,T, ,6
150,USC00187705,1910,1,WT01,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,1, , ,6,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , 
232,USC00187705,1912,1,TMAX,72, , ,6,44, , ,6,28, , ,6,28, , ,6,-11, , ,6,-100, , ,6,-33, , ,6,-33, , ,6,-28, , ,6,33, , ,6,-6, , ,6,-78, , ,6,-100, , ,6,-78, , ,6,-28, , ,6,-78, , ,6,-11, , ,6,89, , ,6,72, , ,6,-17, , ,6,67, , ,6,117, , ,6,139, , ,6,72, , ,6,6, , ,6,-28, , ,6,-67, ,I,6,17, , ,6,0, , ,6,11, , ,6,-6, , ,6
233,USC00187705,1912,1,TMIN,-17, , ,6,-56, , ,6,-17, , ,6,-56, , ,6,-144, , ,6,-161, , ,6,-128, , ,6,-150, , ,6,-100, , ,6,-144, , ,6,-100, , ,6,-111, , ,6,-211, , ,6,-233, , ,6,-111, , ,6,-161, , ,6,-133, , ,6,-28, , ,6,-22, , ,6,-72, , ,6,-78, , ,6,-39, , ,6,28, , ,6,-6, , ,6,-72, , ,6,-67, , ,6,-167, , ,6,-61, , ,6,-61, , ,6,-11, , ,6,-56, , ,6
234,USC00187705,1912,1,TOBS,-11, , ,6,17, , ,6,0, , ,6,-11, , ,6,-144, , ,6,-117, , ,6,-89, , ,6,-61, , ,6,-78, , ,6,-6, , ,6,-78, , ,6,-100, , ,6,-161, , ,6,-94, , ,6,-78, , ,6,-94, , ,6,-17, , ,6,72, , ,6,-22, , ,6,-28, , ,6,11, , ,6,61, , ,6,72, , ,6,-6, , ,6,-28, , ,6,-67, , ,6,-28, ,I,6,-11, , ,6,0, , ,6,-6, , ,6,-33, , ,6
235,USC00187705,1912,1,PRCP,0,P, ,6,0,P, ,6,38, , ,6,0,P, ,6,0,P, ,6,0,P, ,6,-9999, , , ,112, , ,6,0,P, ,6,0,P, ,6,0,P, ,6,97, , ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,30, , ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,-9999, , , ,-9999, , , ,0,P, ,6,0,P, ,6,312, , ,6,0,T, ,6
236,USC00187705,1912,1,SNOW,0, , ,6,0, , ,6,51, , ,6,0, , ,6,0, , ,6,0, , ,6,25, , ,6,51, , ,6,0, , ,6,0, , ,6,0, , ,6,127, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,127, , ,6,25, , ,6,0, , ,6,0, , ,6,0, , ,6,0,T, ,6
237,USC00187705,1912,1,SNWD,-9999, , , ,-9999, , , ,25, , ,6,-9999, , , ,-9999, , , ,-9999, , , ,25, , ,6,76, , ,6,-9999, , , ,-9999, , , ,-9999, , , ,127, , ,6,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,127, , ,6,152, , ,6,-9999, , , ,-9999, , , ,-9999, , , ,127, , ,6
300,USC00187705,1913,1,TMAX,122, , ,6,106, , ,6,139, , ,6,89, , ,6,56, , ,6,139, , ,6,167, , ,6,178, , ,6,111, , ,6,56, , ,6,167, , ,6,161, , ,6,17, , ,6,67, , ,6,83, , ,6,150, , ,6,194, , ,6,167, , ,6,122, , ,6,139, , ,6,150, , ,6,83, , ,6,72, , ,6,89, , ,6,122, , ,6,167, , ,6,83, , ,6,50, , ,6,22, , ,6,144, , ,6,161, , ,6
301,USC00187705,1913,1,TMIN,11, , ,6,-6, , ,6,0, , ,6,-11, , ,6,11, , ,6,-11, , ,6,106, , ,6,111, , ,6,-56, , ,6,11, , ,6,28, , ,6,17, , ,6,-56, , ,6,-11, , ,6,-39, , ,6,44, , ,6,133, , ,6,72, , ,6,0, , ,6,11, , ,6,17, , ,6,-44, , ,6,-11, , ,6,56, , ,6,44, , ,6,11, , ,6,28, , ,6,-39, , ,6,-11, , ,6,-22, , ,6,56, , ,6
302,USC00187705,1913,1,TOBS,33, , ,6,78, , ,6,17, , ,6,44, , ,6,11, , ,6,111, , ,6,161, , ,6,111, , ,6,11, , ,6,33, , ,6,144, , ,6,17, , ,6,-11, , ,6,17, , ,6,44, , ,6,133, , ,6,156, , ,6,72, , ,6,39, , ,6,128, , ,6,17, , ,6,11, , ,6,67, , ,6,61, , ,6,61, , ,6,72, , ,6,28, , ,6,0, , ,6,17, , ,6,100, , ,6,128, , ,6
303,USC00187705,1913,1,PRCP,0,P, ,6,0,P, ,6,188, , ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,137, , ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,107, , ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,10, , ,6,0,P, ,6,0,P, ,6,102, , ,6,0,P, ,6,0,P, ,6,112, , ,6,0,P, ,6,5, , ,6,0,P, ,6,0,P, ,6
