,ID,Year,Month,Data Type,Value1,Mflag1,Qflag1,Sflag1,Value2,Mflag2,Qflag2,Sflag2,Value3,Mflag3,Qflag3,Sflag3,Value4,Mflag4,Qflag4,Sflag4,Value5,Mflag5,Qflag5,Sflag5,Value6,Mflag6,Qflag6,Sflag6,Value7,Mflag7,Qflag7,Sflag7,Value8,Mflag8,Qflag8,Sflag8,Value9,Mflag9,Qflag9,Sflag9,Value10,Mflag10,Qflag10,Sflag10,Value11,Mflag11,Qflag11,Sflag11,Value12,Mflag12,Qflag12,Sflag12,Value13,Mflag13,Qflag13,Sflag13,Value14,Mflag14,Qflag14,Sflag14,Value15,Mflag15,Qflag15,Sflag15,Value16,Mflag16,Qflag16,Sflag16,Value17,Mflag17,Qflag17,Sflag17,Value18,Mflag18,Qflag18,Sflag18,Value19,Mflag19,Qflag19,Sflag19,Value20,Mflag20,Qflag20,Sflag20,Value21,Mflag21,Qflag21,Sflag21,Value22,Mflag22,Qflag22,Sflag22,Value23,Mflag23,Qflag23,Sflag23,Value24,Mflag24,Qflag24,Sflag24,Value25,Mflag25,Qflag25,Sflag25,Value26,Mflag26,Qflag26,Sflag26,Value27,Mflag27,Qflag27,Sflag27,Value28,Mflag28,Qflag28,Sflag28,Value29,Mflag29,Qflag29,Sflag29,Value30,Mflag30,Qflag30,Sflag30,Value31,Mflag31,Qflag31,Sflag31
304,USC00187705,1913,1,SNOW,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0,T, ,6,0, , ,6,0, , ,6
305,USC00187705,1913,1,SNWD,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,0, , ,6,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,0, , ,6,-9999, , , ,0, , ,6
341,USC00187705,1914,1,TMAX,44, , ,6,39, , ,6,67, , ,6,67, , ,6,61, , ,6,72, , ,6,56, , ,6,67, , ,6,83, , ,6,128, , ,6,78, , ,6,44, , ,6,-50, , ,6,-22, , ,6,44, , ,6,83, , ,6,72, , ,6,56, , ,6,44, , ,6,117, , ,6,117, , ,6,39, , ,6,78, , ,6,111, , ,6,83, , ,6,78, , ,6,133, , ,6,206, , ,6,183, , ,6,233, , ,6,211, , ,6
342,USC00187705,1914,1,TMIN,-28, , ,6,-44, , ,6,0, , ,6,11, , ,6,0, , ,6,-50, , ,6,-39, , ,6,-28, , ,6,17, , ,6,39, , ,6,-11, , ,6,-72, , ,6,-106, , ,6,-150, , ,6,-83, , ,6,-72, , ,6,-33, , ,6,-61, , ,6,-72, , ,6,6, , ,6,28, , ,6,-50, , ,6,-61, , ,6,-6, , ,6,-11, , ,6,-39, , ,6,-39, , ,6,0, , ,6,22, , ,6,56, , ,6,44, , ,6
343,USC00187705,1914,1,TOBS,33, , ,6,17, , ,6,67, , ,6,11, , ,6,56, , ,6,56, , ,6,22, , ,6,61, , ,6,67, , ,6,67, , ,6,6, , ,6,-61, , ,6,-61, , ,6,-28, , ,6,33, , ,6,61, , ,6,39, , ,6,-44, , ,6,33, , ,6,100, , ,6,28, , ,6,17, , ,6,67, , ,6,72, , ,6,-6, , ,6,67, , ,6,117, , ,6,183, , ,6,183, , ,6,206, , ,6,117, , ,6
344,USC00187705,1914,1,PRCP,0,P, ,6,0,P, ,6,381, , ,6,127, , ,6,66, , ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,T, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,152, , ,6,147, , ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,119, , ,6
345,USC00187705,1914,1,SNOW,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0,T, ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6
346,USC00187705,1914,1,SNWD,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,0,T, ,6,-9999, , , ,-9999, , , ,0, , ,6,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,0, , ,6
401,USC00187705,1915,1,TMAX,17, , ,6,56, , ,6,11, , ,6,6, , ,6,61, , ,6,67, , ,6,139, , ,6,89, , ,6,56, , ,6,56, , ,6,17, , ,6,44, , ,6,106, , ,6,72, , ,6,111, , ,6,89, , ,6,78, , ,6,167, , ,6,178, , ,6,33, , ,6,0, , ,6,-6, , ,6,78, , ,6,94, , ,6,17, , ,6,39, , ,6,44, , ,6,33, , ,6,17, , ,6,-6, , ,6,-17, , ,6
402,USC00187705,1915,1,TMIN,-94, , ,6,-83, , ,6,-61, , ,6,-50, , ,6,-106, , ,6,-50, , ,6,22, , ,6,-28, , ,6,-39, , ,6,-78, , ,6,-61, , ,6,0, , ,6,28, , ,6,-44, , ,6,-17, , ,6,-50, , ,6,0, , ,6,61, , ,6,28, , ,6,-44, , ,6,-72, , ,6,-128, , ,6,-17, , ,6,-22, , ,6,-22, , ,6,-39, , ,6,-17, , ,6,-22, , ,6,-83, , ,6,-89, , ,6,-44, , ,6
403,USC00187705,1915,1,TOBS,-17, , ,6,11, , ,6,-39, , ,6,-17, , ,6,-11, , ,6,67, , ,6,83, , ,6,50, , ,6,44, , ,6,17, , ,6,11, , ,6,33, , ,6,67, , ,6,44, , ,6,89, , ,6,39, , ,6,72, , ,6,161, , ,6,28, , ,6,0, , ,6,-17, , ,6,-11, , ,6,72, , ,6,-22, , ,6,17, , ,6,28, , ,6,28, , ,6,11, , ,6,-17, , ,6,-28, , ,6,-17, , ,6
404,USC00187705,1915,1,PRCP,0,P, ,6,0,T, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,282, , ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,432, , ,6,417, , ,6,0,P, ,6,0,P, ,6,0,P, ,6,53, , ,6,160, , ,6,3, , ,6,46, , ,6,0,P, ,6,0,P, ,6,10, , ,6,0,T, ,6,89, , ,6,0,P, ,6,0,P, ,6,0,T, ,6,0,P, ,6,0,P, ,6,5, , ,6
405,USC00187705,1915,1,SNOW,-9999, , , ,0,T, ,6,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , 
464,USC00187705,1916,1,TMAX,56, , ,6,206, , ,6,172, , ,6,78, , ,6,189, , ,6,167, , ,6,17, , ,6,-22, , ,6,-17, , ,6,44, , ,6,72, , ,6,56, , ,6,94, , ,6,50, , ,6,-22, , ,6,28, , ,6,22, , ,6,-17, , ,6,28, , ,6,39, , ,6,183, , ,6,183, , ,6,167, , ,6,100, , ,6,167, , ,6,211, , ,6,222, , ,6,200, , ,6,172, , ,6,61, , ,6,217, , ,6
465,USC00187705,1916,1,TMIN,-6, , ,6,39, , ,6,-6, , ,6,-9999, , , ,17, , ,6,17, , ,6,-39, , ,6,-9999, , , ,-9999, , , ,-61, , ,6,22, , ,6,22, , ,6,22, , ,6,-56, , ,6,-117, , ,6,-33, , ,6,-122, , ,6,-189, , ,6,-139, , ,6,-61, , ,6,-6, , ,6,83, , ,6,-17, , ,6,-67, , ,6,-33, , ,6,17, , ,6,111, , ,6,144, , ,6,17, , ,6,11, , ,6,61, , ,6
466,USC00187705,1916,1,TOBS,56, , ,6,172, , ,6,-6, , ,6,44, , ,6,167, , ,6,17, , ,6,-39, , ,6,-33, , ,6,-50, , ,6,33, , ,6,56, , ,6,22, , ,6,50, , ,6,-39, , ,6,-33, , ,6,22, , ,6,-83, , ,6,-33, , ,6,28, , ,6,33, , ,6,100, , ,6,156, , ,6,89, , ,6,61, , ,6,133, , ,6,167, , ,6,183, , ,6,172, , ,6,39, , ,6,61, , ,6,200, , ,6
467,USC00187705,1916,1,PRCP,18, , ,6,0,P, ,6,0, , ,6,0,P, ,6,0,P, ,6,8, , ,6,71, , ,6,0,P, ,6,0,P, ,6,51, , ,6,5, , ,6,51, , ,6,8, , ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,8, , ,6,0,P, ,6,43, , ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,T, ,6,147, , ,6,0,P, ,6
468,USC00187705,1916,1,SNOW,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,71, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6
